can_nam,can_off,can_off_sta,can_par_aff,can_inc_cha_ope_sea,ind_ite_con,ind_uni_con,ind_con,par_com_con,oth_com_con,tot_con,tot_rec,ope_exp,tot_con_ref,oth_dis,tot_dis,cas_on_han_beg_of_per,cas_on_han_clo_of_per,net_con,net_ope_exp,winner
"FUDGE, MARCIA L",H,OH,DEM,INCUMBENT,59550,9630.13,69180.13,,600701.17,669881.3,670500.47,568471.5,9419.95,,577891.45,667845.18,760454.2,660461.35,568070.9,Y
"FUENTES, TALIA",H,AZ,DEM,OPEN,3770,4244.71,8014.71,2500,500,11614.71,11614.71,10346.7,,,10346.7,,1268.01,11614.71,10346.7,
"FUHRMAN, SCOTT",H,FL,DEM,CHALLENGER,82590,7488,90078,,,134796.39,785700.72,760371.83,,,760371.83,,25328.89,134796.39,759467.5,
"FUNICIELLO, MATTHEW J",H,NY,GRE,CHALLENGER,13399.38,,13399.38,500,,13899.38,13899.38,6385.92,,,6385.92,50,7563.46,13899.38,6385.92,
"GABBARD, TULSI",H,HI,DEM,INCUMBENT,910524.55,685435.13,1595959.68,,448573.81,2044533.49,2093249.5,938665.72,19993.92,138400,1101059.64,1080800.02,2072989.88,2024539.57,926059.16,Y
"GAETZ, MATT",H,FL,REP,OPEN,648874.74,38149.49,687024.23,,147550,952163.89,1067163.89,993759.23,1000,27000,1021759.23,,45404.66,951163.89,993759.23,Y
"GALDO, JOSEPH F",H,VA,GRE,CHALLENGER,,,,,,247.32,847.32,731.99,,,2731.99,1884.97,0.3,247.32,731.99,
"GALLAGHER, MICHAEL",H,NY,DEM,OPEN,42842.81,5521.28,48364.09,,,53764.09,94776.28,63828.31,,24009.02,87837.33,,6938.95,53764.09,63828.31,
"GALLAGHER, MICHAEL JOHN",H,WI,REP,OPEN,1893501.12,337.96,1893839.08,20000,475481.06,2389320.14,2389320.14,1972257.25,1975,,1974232.25,,415087.89,2387345.14,1972257.25,Y
"GALLAHER, SCOT B.",H,TX,DEM,CHALLENGER,,165,165,100,,265,10515,10341,,,10341,,174,265,10341,
"GALLEGO, PETE",H,TX,DEM,CHALLENGER,1218309.84,179923.14,1398232.98,4990,514448.28,1917671.26,1953570.83,1762629.27,20954.39,1630,1799264.77,28865.07,183171.13,1896716.87,1740780.81,
"GALLEGO, RUBEN",H,AZ,DEM,INCUMBENT,420737.76,124099.24,544837,22.94,480365.2,1025225.14,1025225.14,483939.12,5025.47,180336.33,669300.92,24162.63,380086.85,1020199.67,483939.12,Y
"GALLOWAY, G.G.",H,FL,REP,CHALLENGER,124348.35,10890,135238.35,,7500,142738.35,171619.98,139853.43,,,139853.43,,32214.74,142738.35,139853.43,
"GALLOWAY, PAMELA GAIL",H,IN,REP,OPEN,100781.45,6020.68,106802.13,,8300,138095.04,388095.04,382524.49,4891.3,,388095.04,,,133203.74,382524.49,
"GARAMENDI, JOHN",H,CA,DEM,INCUMBENT,351776.04,50238.43,402014.47,329.99,577557.37,979901.83,982484.7,677912.43,3675,59400,740987.43,177459.14,418956.41,976226.83,675341.34,Y
"GARCIA, ADRIAN",H,TX,DEM,CHALLENGER,368789.13,18659.49,387448.62,,3550,390998.62,390998.62,376586.79,11380,,387966.79,,4773.11,379618.62,376586.79,
"GARCIA, DOMINIQUE MICHELLE",H,TX,DEM,CHALLENGER,,,,,,6001,6001,6001,,,6001,5001,5001,6001,6001,
"GARCIA, JOE",H,FL,DEM,CHALLENGER,859429.82,31219,890648.82,5000,240108.34,1135757.16,1140130.55,946657.64,2000,-2250.73,946406.91,23473.84,217197.48,1133757.16,945657.64,
"GARCIA, SAMX",P,US,IND,OPEN,,,,,,,,,,,,,,,,
"GARRETT, GREGORY KEITH",H,TX,REP,OPEN,54225,3715,57940,,,57940,108161.18,66208.51,,,108161.18,,,57940,65987.33,
"GARRETT, JANET PATRICIA MRS.",H,OH,DEM,CHALLENGER,32249.97,34035,66284.97,2500,5793.48,76823.87,76886.92,52724.36,,,53224.36,629.22,24291.78,76823.87,52661.31,
"GARRETT, SCOTT REP.",H,NJ,REP,INCUMBENT,1166696.9,252988.96,1419685.86,1500,646532.81,2067718.67,2093576.91,2981778.58,23105,32620,3037503.58,1981421.9,1037495.23,2044613.67,2966819.59,
"GARRETT, THOMAS ALEXANDER MR. JR.",H,VA,REP,OPEN,236024,60866,296890,5000,191599.09,493489.09,527632.44,439602.39,1950,,441552.39,,86080.05,491539.09,438348.24,Y
"GASKINS, SAMUEL LEWIS",H,KY,DEM,OPEN,9250,2808.02,12058.02,950,650,13658.02,14574.98,11734.33,,1911.43,13645.76,260,117.16,13658.02,11734.33,
"GEIGER, MATTHEW",P,US,IND,OPEN,,,,,,,,,,,,,,,,
"GEISSINGER, GLENN A",H,PA,REP,CHALLENGER,33075,3700,36775,,3650,51494.72,138994.72,56843.85,,11509.81,138100.72,,894,51494.72,56843.85,
"GENTILE, VINCENT",H,NY,DEM,OPEN,148125,48268.5,196393.5,75,52775,249243.5,249243.5,249043.5,200,,249243.5,,,249043.5,249043.5,
"GEORGE, JEFF",P,US,NPA,OPEN,7400,200,7600,,,7600,7600,18751.21,,,18751.21,,-11151.21,30400,25198.32,
"GEORGE, SCOTT PATRICK",H,OH,REP,CHALLENGER,4620,1995,6615,,,6615,6615,6615,,,6615,,,6615,6615,
"GERRITSON, REBECCA (BECKY)",H,AL,REP,CHALLENGER,118520.24,62351.56,180871.8,,11500,205103.38,206908.19,205063.19,1845,,206908.19,,,203258.38,203258.38,
"GERSON, DAVID ADAM",H,MN,REP,CHALLENGER,115742.66,13585.19,129327.85,,1500,131367.85,260305.55,147124.57,10800,,157924.57,1796.59,104177.57,120567.85,145619.46,
"GEYMANN, BRETT F",H,LA,REP,OPEN,119345,11290,130635,,3450,134085,134085,131097.46,1500,,132597.46,,1487.54,132585,131097.46,
"GIBBS, ROBERT",H,OH,REP,INCUMBENT,247841.43,19435,267276.43,,612120.28,879396.71,879499.05,618691.51,,,618691.51,867101.92,1127909.46,879396.71,618589.17,Y
"GIBSON, MARK",H,TX,DEM,CHALLENGER,8474,875,9349,,,9349,21306,19113.1,,,19113.1,1490,1598.91,9349,19113.1,
"GIGLIOTTI, LOUIS P",H,TX,REP,CHALLENGER,,3374.95,3374.95,,,3374.95,122374.95,130300.16,,,130300.16,3468.17,-4457.04,3374.95,130300.16,
"GILBERT, MELISSA",H,MI,DEM,CHALLENGER,512609.5,193102.14,705711.64,624.01,97350,803685.65,810267.72,507905.58,89404.61,202500,799810.19,,10457.53,714281.04,501323.51,
"GILES, DAVID VICTOR",H,AZ,REP,CHALLENGER,13441.21,,13441.21,,,13441.21,254468.63,170978.52,,56926.75,249176.45,,5292.18,13441.21,170978.52,
"GILL, DAVID DR.",H,IL,IND,CHALLENGER,17190.01,6175.94,23365.95,,,23620.95,24170.95,23384.13,,,23384.13,,723.73,23620.95,23384.13,
"GILMORE, JAMES S III",P,US,REP,OPEN,105561,3010,108570.95,,2000,110570.95,391436.44,385715.77,3051,1156,390868.39,,568.05,560910.99,1579048.87,
"GIROUX, DANIEL BERNARD",H,KS,DEM,CHALLENGER,182000,37913,219913,,25350,247763,250618,227227.68,800,,251127.68,,-509.68,246963,226872.68,
"GITSHAM, DENISE",H,CA,REP,CHALLENGER,881973.68,137994.51,1019968.19,5000,171407.95,1201776.14,1312272.53,1148876.32,419.78,,1204296.1,,107976.43,1201356.36,1148876.32,
"GLADNEY, MARK DEY",H,MS,DEM,CHALLENGER,21861,8510,30371,2500,19100,52392,52392.02,49270.27,,,49270.27,,3121.75,52392,49270.27,
"GLASGOW, NATHANIEL",P,US,REP,OPEN,,,,,,,,,,,,,,,,
"GLASSHEIM, ELIOT",S,ND,DEM,CHALLENGER,9630,6014,15644,,5000,20644,20644,21140,,,21140,,7860,20644,21140,
"GLENN, DARRYL",S,CO,REP,CHALLENGER,1928426,1473650,3402077,24394,127912,3554383,3627948,2530308,505,,2547292,,1080655,3553878,2503222,
"GLIDEWELL, POWELL WATKINS PETE"" III""",H,NC,DEM,CHALLENGER,68970,15772.54,84742.54,,3800,88617.54,90357.54,82513.74,,,82513.74,,7843.8,88617.54,80773.74,
"GOHMERT, LOUIS B. MR. JR.",H,TX,REP,INCUMBENT,518666,103723.67,622389.67,,97420,719809.67,724509.16,780293.84,8100,11200,801593.84,173122.02,96037.34,711709.67,775630.26,Y
"GOLDERER, BILL",H,PA,DEM,CHALLENGER,362830,24943.41,387773.41,5000,19200,425100.82,425100.82,351550.82,73550,,425100.82,,,351550.82,351550.82,
"GOLDSTEIN, BEVERLY A.",H,OH,REP,CHALLENGER,15243.99,2005,17248.99,,,17248.99,17248.99,15791.23,,,15791.23,,1457.76,17248.99,15791.23,
"GOMEZ, NELSON",P,US,DEM,OPEN,,,,,,,,,,,,,,,,
"GONZALES, REGINO JAMES",H,TX,REP,CHALLENGER,18475,,9450,,,19875,19875,14947,,,14947,,5720,9450,14947,
"GONZALEZ COLON, JENNIFFER",H,PR,NPP,OPEN,676234.73,11145.1,687379.83,,40856.5,728236.33,728427.57,607649.95,,1000,608649.95,,119777.62,728236.33,607458.71,
"GONZALEZ, EVELIO",H,FL,REP,CHALLENGER,2500,65.9,2565.9,,,2940.98,2940.98,741.06,2500,,3241.06,,-300.08,440.98,741.06,
"GONZALEZ, TRAVIS",H,MO,DEM,CHALLENGER,,,,,,221,221,,,,,,221,221,,
"GONZALEZ, VICENTE MR.",H,TX,DEM,OPEN,264791,3732,268523,,223650,492173,2342173,2228578.65,1000,4250,2233828.65,,108344.35,491173,2228578.65,Y
"GOODE, GREGORY MICHAEL LTC(R) SR",H,KS,REP,CHALLENGER,33704.55,7620.49,41325.26,,,61915.75,78415.75,38367.52,5412.95,200,44020.6,,12191.16,56502.8,38367.52,
"GOODLATTE, ROBERT W.",H,VA,REP,INCUMBENT,696493.31,41223.75,737717.06,526.25,959783.85,1698027.16,1714851.85,1461594.84,11700,,1672854.84,978502.01,1020499.02,1686327.16,1457022.2,Y
"GOOGE, SUE",H,NC,REP,CHALLENGER,85388,18841.32,104229.32,,,104229.32,115969.32,78678.44,,,78678.44,,34190.88,104229.32,78678.44,
"GORDON, BRIAN ANTHONY",H,PA,DEM,CHALLENGER,40550,12117.67,52667.67,,,53917.67,57917.67,68548.85,,600,69148.85,12559.43,1328.25,53917.67,68548.85,
"GORDON, DAVID JOSEPH",H,NY,DEM,OPEN,2550,1025,3575,,,3575,3575,3508.94,,,3508.94,,66.06,3575,3508.94,
"GOSAR, PAUL ANTHONY",H,AZ,REP,INCUMBENT,337920.04,78375.5,416295.54,,261887.45,678182.99,678485.22,664357.24,5000,14000,683357.24,112812.09,107940.07,673182.99,664064.74,Y
"GOSS, CHAUNCEY P",H,FL,REP,OPEN,319707.79,29546,349253.79,,4000,353253.79,392853.79,386429.01,2700,,392853.79,,,350553.79,386429.01,
"GOTTHEIMER, JOSH",H,NJ,DEM,CHALLENGER,3522753.93,244205.33,3766959.26,6643.93,516978.03,4290942.36,4304227.42,2316407.15,15950,12000,2344357.15,,1959870.27,4274992.36,2316322.09,Y
"GOURON, MAX M.D.",H,CA,DEM,CHALLENGER,1550,435,1985,,,1985,46132.47,41216.97,,327,46128.97,,3.5,1985,41216.97,
"GOWAN , DAVID MATTHEW SR",H,AZ,REP,OPEN,288221.76,43636.27,331858.03,,74500,406358.03,406358.03,356815.97,,,356815.97,,49542.06,406358.03,356815.97,
"GOWDY, TREY",H,SC,REP,INCUMBENT,522716.98,685913.47,1208630.45,,289000,1497630.45,1504984.65,809824.03,7000,384779.2,1201603.23,352926.56,656307.98,1490630.45,802469.83,Y
"GRADERT, JAMIESON HALE",H,NH,REP,CHALLENGER,,,,,,190,190,179.82,,,179.82,,10.18,190,179.82,
"GRAHAM, JOHN COLLINS",S,CO,REP,CHALLENGER,451760,10520,462280,,,483847,2365130,2365130,,,2365130,,,483847,2358939,
"GRAHAM, LINDSEY O",P,US,REP,OPEN,3526757,250643,3777399.16,,75250,3852649.16,6010010.2,5564906.6,293791.4,,6010010.2,,,40246051.54,57822660.09,
"GRAHAM, MALCOLM",H,NC,DEM,CHALLENGER,63453,14075,77528,,250,77812.37,104622.49,103908.89,,,104908.89,286.4,,77812.37,102098.77,
"GRANGER, KAY",H,TX,REP,INCUMBENT,732259,27931,760190,,622104.9,1382299.9,1382990.94,636116.28,1535,349870,987521.28,116463.44,511933.1,1380764.9,635720.6,Y
"GRASSLEY, CHARLES E SENATOR",S,IA,REP,INCUMBENT,4317101,1194374,5511478,3550,2436538,7951567,8623856,8063168,28996,2070,8094234,1838647,2368270,7922571,8060468,Y
"GRAVES, GARRET",H,LA,REP,INCUMBENT,942918.18,15400.23,958318.41,,842967.58,1801285.99,1804303.2,1101772.81,13350,113985,1229107.81,494737.47,1069932.86,1787935.99,1099655.6,Y
"GRAVES, JOHN THOMAS MR. JR.",H,GA,REP,INCUMBENT,495022.01,12304.25,507326.26,,756125,1263451.26,1307131.99,649595.21,8425,7110,676655.21,288763.68,919240.46,1255026.26,642949.07,Y
"GRAVES, SAMUEL B JR 'SAM'",H,MO,REP,INCUMBENT,262533.39,17363.66,279897.05,,1142321.4,1422218.45,1463278.61,1010699.48,3300,262850,1279592.77,394483.22,578169.06,1418918.45,1008699.48,Y
"GRAY, JIM P",S,KY,DEM,CHALLENGER,2568293,716541,3284835,,122500,3407408,5420051,4541315,30890,21670.49,4668876,,751175,3376518,4539473,
"GRAYSON, ALAN MARK",S,FL,DEM,CHALLENGER,1708933.77,2347414.17,4056349.94,,89150,4145499.94,4658100.83,3585661,5667.16,24816.61,3965939.77,45332.6,609709,4139832.78,3585661,
"GRAYSON, DENA MD, PHD",H,FL,DEM,OPEN,325181.48,6055,331236.48,,88800,420036.48,535036.48,397859.83,,,397859.83,,137176.65,420036.48,397859.83,
"GRAYSON, DERRICK EARL",S,GA,REP,CHALLENGER,2683,4918,7601,,,10186,15186,9407,,5220,14627,10,568,10186,9407,
"GREEN, ALEXANDER",H,TX,DEM,INCUMBENT,334081.03,4725.89,338806.92,,189300,528106.92,641678.99,287900.81,1993,172038.91,550373.98,130053.22,221358.23,526113.92,282970,Y
"GREEN, RAYMOND E. 'GENE'",H,TX,DEM,INCUMBENT,477381.19,23725.05,501106.24,,1233583.44,1734689.68,1735678.83,1456185.64,2500,354255.21,1812940.85,1183124.25,1105862.23,1732189.68,1455824.78,Y
"GREENE, RUSSELL",S,CA,DEM,OPEN,1750,,1750,,,1750,1750,1750,,,1750,,,1750,1750,
"GREENE, RYAN",H,WY,DEM,OPEN,69201.5,27333.5,96535,2000,10200,116024,179924,158025.16,,,159025.16,,19034.19,116024,158025.16,
"GREER, JOHN BRADLEY MR",H,TN,REP,OPEN,133022.86,8710,141732.86,,2000,143732.86,148989.91,129417.68,14500,,143917.68,,5072.23,129232.86,124160.63,
"GREGORY, DUWAYNE",H,NY,DEM,CHALLENGER,192996.78,85723.55,278720.33,97.22,74825,353642.55,354071.5,322597.28,293.34,,322890.62,,31180.88,353349.21,322168.33,
"GREY, CLIVE",S,CA,IND,OPEN,2200,1900,4100,,,15620,71366,69095,,,71366,,,15620,69095,
"GRIEGO, HARRY MR",H,VA,REP,CHALLENGER,275,10655.26,10930.26,,,10930.26,10930.26,10864.11,,,10864.11,,66.15,10930.26,10864.11,
"GRIFFIN, KEVIN D.",H,NC,DEM,CHALLENGER,,630.36,630.36,,,633.36,19829.36,19827.39,,,19827.39,,1.97,633.36,19506.39,
"GRIFFIN, KEVIN DAY",S,NC,DEM,CHALLENGER,2000,1855,3855,,,3865,62899,58935,,3309,62394,-10,495,3865,58927,
"GRIFFIN, WILLIAM TAYLOR",H,NC,REP,CHALLENGER,265537,24094,289631,,66500,356401,359680.06,349245.39,8600,,357845.39,,1834.67,347801,345966.33,
"GRIFFITH, H MORGAN",H,VA,REP,INCUMBENT,219187,52456.25,271643.25,500,523554,797497.25,799747.24,468271.15,,309533.79,777804.94,156691.91,178634.21,797497.25,467961.15,Y
"GRIJALVA, RAUL M",H,AZ,DEM,INCUMBENT,170243.13,152452.43,322695.56,,281203.49,603899.05,605765.63,509784.04,2793.5,16394.4,528971.94,36088.02,112881.71,601105.55,509267.46,Y
"GRIMSLEY, WARREN GRIZZ",H,IL,GRE,CHALLENGER,1500,316,,,,4059,5059.26,3893,460,,6353,,,3599,3421,
"GROTHMAN, GLENN S.",H,WI,REP,INCUMBENT,579811.77,123184.38,702996.15,,280095.95,983092.1,991704.87,746861.15,3600,6500,756961.15,3509.12,238252.84,979492.1,739828.38,Y
"GUILD, THOMAS EUGENE",H,OK,DEM,CHALLENGER,9484,20220.08,29704.08,77,25,29821.08,76721.08,76456.69,,,76721.08,,,29821.08,76456.69,
"GUILLORY, ELBERT",H,LA,REP,OPEN,213461.17,593032.76,806493.93,,8200,824568.93,824568.93,589272.92,1000,,590272.92,,234296.01,823568.93,589272.92,
"GUINTA, FRANK",H,NH,REP,INCUMBENT,467130.98,17862.11,484993.09,,705926.16,1190919.25,1291698.06,1117325.26,17550,580,1135455.26,18774.31,175017.11,1173369.25,1117175.62,
"GUMINA, TONY DR",S,NV,OTH,OPEN,21660,8197,29907,,,31407,31480,28047,,,28047,,2930,31407,28474,
"GURFEIN, DAVID MR.",H,NY,REP,OPEN,406386.79,20253.99,426640.78,,9625,441653.28,441653.28,315001.98,10843.52,,325845.5,,115807.78,430809.76,315001.98,
"GURR, ERIK ROBERT",H,OH,REP,CHALLENGER,,,,,,,,,,,,,,,,
"GUTHRIE, S. BRETT HON.",H,KY,REP,INCUMBENT,221639,26691.24,248330.24,,1409768,1658098.24,1666222.04,870696.95,8525,345800,1275021.95,1367518.36,1757291.45,1649573.24,869972.19,Y
"GUTHRIE, SEAN PATRICK",S,FL,OTH,CHALLENGER,267,,235,,,409,409,236,,173,409,101,,409,131,
"GUTIERREZ, LUIS V",H,IL,DEM,INCUMBENT,164168.11,7049.93,171218.04,,312117.9,483335.94,501257.01,494577.14,,34548.6,529125.74,191563.87,163695.14,483335.94,494558.05,Y
"GUTZEIT, MARIA",H,CA,DEM,CHALLENGER,49510,6525.97,56035.97,,5500,61871.79,72845.44,63041.57,1500,,72845.44,,,60371.79,62067.92,
"GUZMAN, DAVID",H,CA,DEM,CHALLENGER,7666,637.25,8303.25,,,8303.25,8303.25,8303.25,,,8303.25,,,8303.25,8303.25,
"HAAS, WILLIAM C",H,MO,DEM,CHALLENGER,,,,,,4764,12264,12263,,,12263,,,4764,12264,
"HAGAN, ROBERT F",S,OH,DEM,CHALLENGER,,,,,,,,20,,,4120,4120,,,4120,
"HAGEDORN, JAMES",H,MN,REP,CHALLENGER,237110.43,46908.67,284019.1,8650,10500,314542.01,323484.73,273436.87,,11341.7,296362.09,2297.35,29419.99,314542.01,273077.67,
"HALL, DAVID EAMES",P,US,REP,OPEN,100,,100,,,100,10,4.59,,25,29.5,100,169,100,4.59,
"HALL, ISADORE III",H,CA,DEM,OPEN,1058152.93,6811,1064963.93,,663635.83,1728599.76,1730188.93,1653134.19,19754.82,2950,1675839.01,67108.63,121458.55,1708844.94,1653134.19,
"HALL, ROBERT",H,IN,REP,OPEN,5000,2611,7611,,244.81,8498.42,8498.42,8498.42,,,8498.42,,,8498.42,8498.42,
"HALVORSON, ARTHUR L",H,PA,REP,CHALLENGER,73864,14352,88216,,,89031.14,289031.14,224986.58,,,227486.58,4984.71,142502.88,89031.14,224986.58,
"HANABUSA, COLLEEN WAKAKO",H,HI,DEM,OPEN,519728,42454.36,562182.36,,251116.87,813299.23,813299.23,398738.91,,5000,403738.91,34911,444469.26,813299.23,398738.91,Y
"HANEY, PERRY",H,CO,DEM,CHALLENGER,,,,,,1000,1001000,53160.65,,,1001160.65,160.65,,1000,53160.65,
"HARDIN, CHRISTOPHER WESLEY MR.",H,NC,REP,CHALLENGER,11818.7,5468.32,17287.02,,,29340.15,31090.7,30928.81,,,30928.81,,161.89,29340.15,29178.81,
"HARDY, CHARLIE",H,WY,DEM,OPEN,7404.27,7341.41,14745.68,,,14745.68,14777.47,14829.03,,,14829.03,,-51.56,14745.68,14829.03,
"HARDY, CRESENT",H,NV,REP,INCUMBENT,806004.69,30339.55,836344.24,,790450,1626794.24,1748180.2,1613736.51,14700,700,1664136.51,62864.02,146907.71,1612094.24,1613271.47,
"HARIDOPOLOS, MIKE",S,FL,REP,CHALLENGER,,,,,,,9603,60436,,86100,146536,1029928,892996,,60436,
"HARMON, WAYNE E",H,IN,REP,CHALLENGER,621,15,636,,,636,636,212,,,212,,424,636,212,
"HARPER, GREGG",H,MS,REP,INCUMBENT,351300,17650,368950,,481880,850830,877830,1031629.29,2000,,1033629.29,813182.89,657383.6,848830,1031629.29,Y
"HARRINGTON, JOHN WESLEY IV",H,TX,REP,CHALLENGER,5095,565,5660,,,7710,7710,6988,,,7388,,320,7710,6988,
"HARRINGTON, PAUL J.",H,MA,NNE,CHALLENGER,13550,1240,14790,,,21138,61138,27781.05,,,27781.05,,33356.95,21138,27781.05,
"HARRIS, ANDREW P",H,MD,REP,INCUMBENT,595583.02,148215.45,743798.47,1313.12,442158.37,1187269.96,1188439.52,500548.29,3000,162035.7,665583.99,297598.73,820454.26,1184269.96,500548.29,Y
"HARRIS, KAMALA D",S,CA,DEM,OPEN,10913213,1835103,12748319,,758911,13507231,14451398,12172925,253366,35044,12466740,,1984659,13253863,12166878,Y
"HARRIS, MARK E",H,NC,REP,CHALLENGER,147897,25453,173350,,3012.42,179443.97,180743.97,180341.37,50,352.98,180744.35,,-0.38,179393.97,180341.37,
"HARRIS, NAPOLEON",S,IL,DEM,CHALLENGER,17921,100,10564,,1500,19521,1069521,560900,,,1060880,,8638,19521,560900,
"HART, JAMES",H,TN,IND,OPEN,,,,,,,501.09,271.95,,,271.95,1107.34,1336.48,,271.95,
"HARTMAN, CHRISTINA MARIE MS.",H,PA,DEM,OPEN,435580.19,213539.32,649119.51,,171324,820443.51,875443.51,757786.75,1400,50800,814486.75,,67784.43,819043.51,757786.75,
"HARTZLER, VICKY",H,MO,REP,INCUMBENT,443734,29191,472925,250,384700,857875,858684.31,382580.58,,306750,689330.58,352837,522190.73,857875,382580.58,Y
"HASAN, SHARIFF M",H,CA,REP,CHALLENGER,2250,,2250,,,2250,2250,2250,,,2250,,,2250,2250,
"HASSAN, MARGARET WOOD",S,NH,DEM,CHALLENGER,9049406,4117882,13167293,46800,873499,14087592,15526499,13635740,81168,4060,13720969,,1805530,14006424,13622825,Y
"HASTINGS, ALCEE L",H,FL,DEM,INCUMBENT,406035,25210,431245,3800,337561.05,772606.05,779724.69,578134.63,6459.7,107325,691919.33,154456.95,242262.31,766146.35,571015.99,Y
"HAUGH, SEAN",S,NC,LIB,CHALLENGER,,,,,,,,530.88,,,530.88,530,,,530,
"HAWKS, PAULA",H,SD,DEM,CHALLENGER,240694.93,138497.84,379192.77,,18306.37,398449.14,398449.14,315989.85,,,315989.85,,112963.81,398449.14,315989.85,
"HAZZARD, SHANNONN MONROE",P,US,REP,OPEN,50,,50,,,635,635,635,,,635,,,,,
"HEANEY, ANDREW",H,NY,REP,OPEN,1359602.63,18775.61,1378378.24,,3295,1483679.24,1960055.53,1774030.48,154131.44,31564,1959725.92,,329.61,1329547.8,1774030.48,
"HEARD, CRAIG P.",H,NJ,REP,CHALLENGER,19539.9,3200,22739.9,,,22739.9,30739.9,29532.34,,,29532.34,,1207.56,22739.9,29532.34,
"HECK, DENNIS",H,WA,DEM,INCUMBENT,673626.31,63309.92,736936.23,,734750,1471686.23,1474492.62,556922.59,4550,342910.25,904382.84,212560.44,782670.22,1467136.23,554116.2,Y
"HECK, JOE",S,NV,REP,OPEN,5958509,1114429,7072941,5000,1838249,8916190,11178117,8460854,78069,,8538923,,2639193,8838121,8444442,
"HECK, THOMAS",S,NV,REP,OPEN,800,649,1449,,,21234,21234,21234,,,21234,,,21234,21234,
"HEINEMAN, LISA ANN MRS.",H,NE,IND,CHALLENGER,,,,,,,,,,,,,,,,
"HEINZ, MATTHEW GERALD DR.",H,AZ,DEM,CHALLENGER,927459.39,191138.86,1118598.25,,266951.12,1415790.93,1415790.93,1316931.56,5980.74,21000,1343912.3,,71878.63,1409810.19,1316931.56,
"HELLAND, ROBERT RANDOLPH",H,MN,UNK,CHALLENGER,1058,1275,2333,,,4743,4743,4162,,,4162,,590,4743,4162,
"HENLEY, GARDENIA M",H,NC,DEM,CHALLENGER,3100,85.98,3185.98,,,3185.98,10375.98,10223.96,,,10223.96,70.61,222.63,3185.98,10223.96,
"HENNING, PAUL H IV",H,NC,REP,CHALLENGER,82801,3395,86196,,2490,88686,88686,77591,11095,,88686,,,77591,77591,
"HENSARLING, JEB HON.",H,TX,REP,INCUMBENT,887679.88,42294.46,929974.34,,1209110.44,2139084.78,2196027.44,996803.23,14600,2053407.61,3064810.84,1597051.87,728268.47,2124484.78,990946.36,Y
"HERMANSON, BARRY",H,CA,GRE,CHALLENGER,,200,200,,,2700,8958.83,7430.36,,,8958.83,,,2700,7430.36,
"HERNANDEZ, ROGER",H,CA,DEM,CHALLENGER,64900,35284.23,100184.23,,7380,107564.23,187642.23,114539.02,2000,,140539.02,,47103.21,105564.23,114539.02,
"HERNICK, CHARLES ALAN MR.",H,VA,REP,CHALLENGER,37376.24,21952,59328.24,5500,250,65078.24,68578.24,61715.2,,,61715.2,,6863.04,65078.24,61715.2,
"HERRERA BEUTLER, JAIME",H,WA,REP,INCUMBENT,627860.7,224815.72,852676.42,500,411900,1265076.42,1270347.5,1096633.43,3675,188935,1289243.43,855171.89,836275.96,1261401.42,1093354.65,Y
"HICE, JODY",H,GA,REP,INCUMBENT,267998.5,18404.32,286402.82,100,179879.25,466382.07,467099.33,292029.75,3800,104700,405529.75,2442.57,64012.15,462582.07,291562.49,Y
"HICKS, ANGELA",H,GA,REP,CHALLENGER,9875,,1250,,,46600,46600,46599,,,46599,,,46600,46599,
"HIDALGO, JUAN M JR",H,CA,REP,CHALLENGER,51961.68,16300,68261.68,,1500,69761.68,72728.12,52121.77,,,52121.77,,20606.35,69761.68,52121.77,
"HIGGINS, BRIAN",H,NY,DEM,INCUMBENT,403399.2,46680.75,450079.95,175,291506.12,741761.07,742927.5,343835.21,,97066,524401.21,620920.27,839446.56,741761.07,342672.77,Y
"HIGGINS, CAPTAIN CLAY",H,LA,REP,CHALLENGER,99401.1,82220.17,181621.27,,,181621.27,181889.41,170639.93,,,170639.93,,11249.48,181621.27,170371.79,
"HILL, BARON P",S,IN,DEM,OPEN,826345,189716,1016063,6000,360527,1382590,1386201,978374,45261,13250,1036886,,349314,1337330,977740,
"HILL, CHRISTOPHER V",P,US,REP,OPEN,1240,,1240,,,42395,42395,43101,,,43101,705,,,,
"HILL, JAMES FRENCH",H,AR,REP,INCUMBENT,1147270.71,43628.67,1190899.38,1250,860932.69,2053082.07,2143519.26,1362892.4,1850,26000,1390742.4,49251.83,802028.69,2051232.07,1323692.33,Y
"HILL, RANDAL",H,FL,DEM,CHALLENGER,88617,13449.33,102066.33,,6000,108066.33,128066.33,126566.33,1500,,128066.33,,,106566.33,126566.33,
"HILL, TOM",H,NC,DEM,CHALLENGER,500,2224.01,2724.01,,,2724.01,4464.01,4623.76,,,4623.76,32.31,-127.44,2724.01,4623.76,
"HIMES, JIM",H,CT,DEM,INCUMBENT,945056,54791.54,999847.54,,959529.28,1959376.82,2028132.3,598863.38,7805,174575,781243.38,1045413.29,2292302.21,1951571.82,595903.38,Y
"HINSON, AMANDA LYNN",H,MN,REP,CHALLENGER,14884.26,8209.7,23093.96,,1000,24093.96,24365.54,22889.54,,1471.46,24361,,-1.58,24093.96,22617.96,
"HIRD, DIANA",H,NY,DEM,CHALLENGER,5650,3755.84,9405.84,,,9405.84,26905.84,17374.83,,,26905.84,,,9405.84,9874.83,
